Date,Time,TOA,Tag ID,Type,Value,Power
7/24/2020,12:25:31,0.71188,24,,,304
7/24/2020,12:29:31,0.53812,24,,,302
7/24/2020,12:33:31,0.51146,24,,,285
7/24/2020,12:37:31,0.62813,24,,,290
7/24/2020,12:41:32,0.08896,24,,,908
7/24/2020,12:45:32,0.37021,24,,,269
7/24/2020,12:49:32,0.77917,24,,,274
7/24/2020,12:53:20,0.73938,23,,,74
7/24/2020,12:53:33,0.30729,24,,,278
7/24/2020,12:57:33,0.95813,24,,,273
7/24/2020,13:01:34,0.67,24,,,288
7/24/2020,13:05:35,0.59854,24,,,437
7/24/2020,13:06:48,0.94812,23,,,64
7/24/2020,13:09:36,0.11313,24,,,291
7/24/2020,13:13:36,0.51187,24,,,279
7/24/2020,13:17:36,0.80437,24,,,73
7/24/2020,13:21:36,0.98042,24,,,859
7/24/2020,13:25:37,0.06896,24,,,702
7/24/2020,13:29:37,0.05604,24,,,670
7/24/2020,13:33:36,0.95667,24,,,610
7/24/2020,13:37:36,0.84646,24,,,289
7/24/2020,13:41:36,0.71875,24,,,732
7/24/2020,13:45:36,0.51062,24,,,720
7/24/2020,13:49:36,0.56417,24,,,721
7/24/2020,13:53:36,0.28125,24,,,749
7/24/2020,13:57:36,0.00146,24,,,777
7/24/2020,14:01:35,0.71521,24,,,521
7/24/2020,14:05:35,0.41708,24,,,549
7/24/2020,14:09:35,0.39104,24,,,267
7/24/2020,14:13:35,0.04604,24,,,290
7/24/2020,14:17:34,0.80771,24,,,283
7/24/2020,14:21:34,0.77771,24,,,432
7/24/2020,14:25:35,0.03771,24,,,282
7/24/2020,14:29:35,0.39687,24,,,651
7/24/2020,14:33:36,0.77042,24,,,260
7/24/2020,14:37:38,0.2325,24,,,278
7/24/2020,14:41:13,0.04146,23,,,75
7/24/2020,14:41:39,0.91938,24,,,276
7/24/2020,14:45:41,0.70833,24,,,464
7/24/2020,14:45:43,0.54896,23,,,72
7/24/2020,14:49:43,0.33396,24,,,436
7/24/2020,14:50:14,0.15792,23,,,56
7/24/2020,14:53:45,0.00917,24,,,440
7/24/2020,14:54:44,0.74625,23,,,70
7/24/2020,14:57:46,0.0475,24,,,514
7/24/2020,14:59:14,0.92396,23,,,66
7/24/2020,15:01:46,0.62938,24,,,283
7/24/2020,15:03:45,0.54458,23,,,67
7/24/2020,15:05:46,0.69104,24,,,266
7/24/2020,15:08:15,0.65021,23,,,68
7/24/2020,15:09:46,0.12896,24,,,280
7/24/2020,15:12:45,0.44333,23,,,63
7/24/2020,15:13:45,0.03708,24,,,285
7/24/2020,15:17:15,0.02792,23,,,64
7/24/2020,15:17:43,0.83104,24,,,519
7/24/2020,15:21:42,0.03896,24,,,480
7/24/2020,15:21:44,0.46458,23,,,62
7/24/2020,15:25:40,0.04021,24,,,522
7/24/2020,15:26:13,0.68958,23,,,62
7/24/2020,15:29:37,0.99021,24,,,507
7/24/2020,15:30:43,0.01375,23,,,65
7/24/2020,15:33:35,0.75187,24,,,538
7/24/2020,15:35:12,0.07354,23,,,61
7/24/2020,15:37:34,0.24896,24,,,263
7/24/2020,15:39:41,0.21875,23,,,66
7/24/2020,15:41:32,0.61813,24,,,516
